DATE,AMOUNT
2021-10-07T00:00:00Z,115003.73
2021-10-08T00:00:00Z,128788.45
2021-10-09T00:00:00Z,133585.96
2021-10-10T00:00:00Z,86449.8
2021-10-11T00:00:00Z,91812.13
2021-10-12T00:00:00Z,99299.07
2021-10-13T00:00:00Z,102938.89
2021-10-14T00:00:00Z,108069.69
2021-10-15T00:00:00Z,125312.35
2021-10-16T00:00:00Z,151911.95
2021-10-17T00:00:00Z,110841.83
2021-10-18T00:00:00Z,103453.11
2021-10-19T00:00:00Z,91823.21
2021-10-20T00:00:00Z,105615.09
2021-10-21T00:00:00Z,134844.71
2021-10-22T00:00:00Z,113101.18
2021-10-23T00:00:00Z,129693.03
2021-10-24T00:00:00Z,79751.72
2021-10-25T00:00:00Z,92091.07
2021-10-26T00:00:00Z,103778.68
2021-10-27T00:00:00Z,119410.67
2021-10-28T00:00:00Z,144421.87
2021-10-29T00:00:00Z,150063.74
2021-10-30T00:00:00Z,161025.22
2021-10-31T00:00:00Z,93556.17
2021-11-01T00:00:00Z,97870.54
2021-11-02T00:00:00Z,103904.08
2021-11-03T00:00:00Z,109108.51
2021-11-04T00:00:00Z,144850.23
2021-11-05T00:00:00Z,146309.18
2021-11-06T00:00:00Z,137890.09
2021-11-07T00:00:00Z,94641.86
2021-11-08T00:00:00Z,96235.74
2021-11-09T00:00:00Z,107704.4
2021-11-10T00:00:00Z,121008.45
2021-11-11T00:00:00Z,139867.86
2021-11-12T00:00:00Z,149521.99
2021-11-13T00:00:00Z,152004.75
2021-11-14T00:00:00Z,103265.21
2021-11-15T00:00:00Z,114889.23
2021-11-16T00:00:00Z,119380.67
2021-11-17T00:00:00Z,121269.12
2021-11-18T00:00:00Z,119523.38
2021-11-19T00:00:00Z,149013.56
2021-11-20T00:00:00Z,132196.32
2021-11-21T00:00:00Z,105087.39
2021-11-22T00:00:00Z,110817.94
2021-11-23T00:00:00Z,136105.68
2021-11-24T00:00:00Z,272646.41
2021-11-25T00:00:00Z,342698
2021-11-26T00:00:00Z,358538.99
2021-11-27T00:00:00Z,338135.25
2021-11-28T00:00:00Z,177253.52
2021-11-29T00:00:00Z,190355.37
2021-11-30T00:00:00Z,175217.35
2021-12-01T00:00:00Z,169399.58
2021-12-02T00:00:00Z,171609.62
2021-12-03T00:00:00Z,131004.62
2021-12-04T00:00:00Z,155581.26
2021-12-05T00:00:00Z,97335.3
2021-12-06T00:00:00Z,103150.88
2021-12-07T00:00:00Z,111269.18
2021-12-08T00:00:00Z,111574.9
2021-12-09T00:00:00Z,127371.35
2021-12-10T00:00:00Z,117784.05
2021-12-11T00:00:00Z,140546.85
2021-12-12T00:00:00Z,103212.24
2021-12-13T00:00:00Z,114325.82
2021-12-14T00:00:00Z,125377.55
2021-12-15T00:00:00Z,130521.5
2021-12-16T00:00:00Z,138233.11
2021-12-17T00:00:00Z,119816.41
2021-12-18T00:00:00Z,116426.22
2021-12-19T00:00:00Z,92873.27
2021-12-20T00:00:00Z,85317.35
2021-12-21T00:00:00Z,91845.58
2021-12-22T00:00:00Z,128145.91
2021-12-23T00:00:00Z,179066.83
2021-12-24T00:00:00Z,151790.58
2021-12-25T00:00:00Z,153513.55
2021-12-26T00:00:00Z,147404.09
2021-12-27T00:00:00Z,156175.36
2021-12-28T00:00:00Z,169572.31
2021-12-29T00:00:00Z,174744.62
2021-12-30T00:00:00Z,182537.83
2021-12-31T00:00:00Z,111235.37
2022-01-01T00:00:00Z,125508.63
2022-01-02T00:00:00Z,88137
2022-01-03T00:00:00Z,107803.59
2022-01-04T00:00:00Z,103047.16
2022-01-05T00:00:00Z,100564.84
2022-01-06T00:00:00Z,103631.04
2022-01-07T00:00:00Z,93196.23
2022-01-08T00:00:00Z,106033.44
2022-01-09T00:00:00Z,82904.69
2022-01-10T00:00:00Z,80426.75
2022-01-11T00:00:00Z,82983.56
2022-01-12T00:00:00Z,88395.56
2022-01-13T00:00:00Z,91671.02
2022-01-14T00:00:00Z,75801.2
2022-01-15T00:00:00Z,88310.73
2022-01-16T00:00:00Z,69609.263
2022-01-17T00:00:00Z,69609.263
2022-01-18T00:00:00Z,72098.91
2022-01-19T00:00:00Z,76143.42
2022-01-20T00:00:00Z,84102.95
2022-01-21T00:00:00Z,87523.65
2022-01-22T00:00:00Z,100686.58
2022-01-23T00:00:00Z,78160.81
2022-01-24T00:00:00Z,78734.63
2022-01-25T00:00:00Z,84479.36
2022-01-26T00:00:00Z,86669.53
2022-01-27T00:00:00Z,109027.37
2022-01-28T00:00:00Z,103252.11
2022-01-29T00:00:00Z,123147.27
2022-01-30T00:00:00Z,86572.2
2022-01-31T00:00:00Z,83768.48
2022-02-01T00:00:00Z,86892.15
2022-02-02T00:00:00Z,87805.99
2022-02-03T00:00:00Z,97112.61
2022-02-04T00:00:00Z,85838.8
2022-02-05T00:00:00Z,95404.81
2022-02-06T00:00:00Z,69609.263
2022-02-07T00:00:00Z,74375.97
2022-02-08T00:00:00Z,75311.89
2022-02-09T00:00:00Z,90593.24
2022-02-10T00:00:00Z,85531.51
